3MA	[np] - 3MA [np]
a posteriori	[adv] - a posteriori [adv]
a priori	[adv] - a priori [adv]
Aaium	[np] - Aaium [np]
Aalborg	[np] - Aalborg [np]
Aar	[np] - Aar [np]
Aaron	[np] - Aarón [np]
Aasheim	[np] - Aasheim [np]
Abad	[np] - Abad [np]
Abadan	[np] - Abadan [np]
Abadiño	[np] - Abadiano [np]
Abadiño	[np] - Abadiño [np]
abaissement	[n.m] - descenso [n.m]
abaisser	[vblex] - bajar [vblex]
Abaitúa	[np] - Abaitúa [np]
Abaltzisketa	[np] - Abaltzisketa [np]
Abando	[np] - Abando [np]
Abandoibarra	[np] - Abandoibarra [np]
abandon	[n] - abandono [n]
abandonner	[vblex] - abandonar [vblex]
Abanto	[np] - Abanto [np]
ABAO	[n] - ABAO [n]
Abarca	[np] - Abarca [np]
Abartzuza	[np] - Abartzuza [np]
Abarzuza	[np] - Abarzuza [np]
Abas	[np] - Abante [np]
Abas	[np] - Abas [np]
Abasalon	[np] - Abasalon [np]
Abascal	[np] - Abascal [np]
Abasolo	[np] - Abasolo [np]
abattement	[n] - abatimiento [n]
abattre	[vblex] - abatir [vblex]
abattre	[vblex] - derrotar [vblex]
abattre	[vblex] - derrumbar [vblex]
abattu	[adj] - alicaído [adj]
Abaunza	[np] - Abaunza [np]
Abaurreas	[np] - Abaurreas [np]
abaya	[n] - abaya [n]
ABB	[n] - ABB [n]
Abba	[np] - Abba [np]
Abbas	[np] - Abbas [np]
Abbas	[np] - Abás [np]
abbaye	[n] - abadía [n]
abbesse	[n] - abadesa [n]
Abbio	[np] - Abbio [np]
Abbondanzieri	[np] - Abbondanzieri [np]
Abbott	[np] - Abbott [np]
abbé	[n] - abad [n]
ABC	[np] - ABC [np]
Abdallah	[np] - Abdallah [np]
Abdallah	[np] - Abdalá [np]
Abdallah	[np] - Abdulá [np]
Abdel	[np] - Abdel [np]
Abdelaziz	[np] - Abdelaziz [np]
Abdelghani	[np] - Abdelghani [np]
Abdelhadi	[np] - Abdelhadi [np]
Abdelhak	[np] - Abdelhak [np]
Abdelkader	[np] - Abdelkader [np]
Abdelkhalak	[np] - Abdelkhalak [np]
Abdelkrim	[np] - Abdelkrim [np]
Abdellatif	[np] - Abdellatif [np]
Abdelli	[np] - Abdelli [np]
Abdelmajib	[np] - Abdelmajib [np]
Abdelqadem	[np] - Abdelqadem [np]
Abdenbi	[np] - Abdenbi [np]
Abdennabi	[np] - Abdennabi [np]
Abderrahman	[np] - Abderrahman [np]
Abderrahmane	[np] - Abderrahmane [np]
abdiquer	[vblex] - abdicar [vblex]
abdomen	[n] - abdomen [n]
Abdoulaye	[np] - Abdoulaye [np]
Abdrazakov	[np] - Abdrazakov [np]
abducteur	[adj.f] - abductor [adj.mf]
abducteur	[adj.GD] - abductor [adj.mf]
abducteur	[adj.m] - abductor [adj.mf]
abducteur	[n] - abductor [n]
Abdul	[np] - Abdul [np]
Abdulhaved	[np] - Abdulhaved [np]
Abdullah	[np] - Abdullah [np]
Abdullah Ahmad Badawi	[np] - Abdullah Ahmad Badawi [np]
Abdullah Gül	[np] - Abdullah Gül [np]
Abdülhamid II	[np] - Abdul Hamid II [np]
Abe	[np] - Abe [np]
Abeac	[n] - Abeac [n]
Abebe	[np] - Abebe [np]
Abed	[np] - Abed [np]
abeille	[n] - abeja [n]
Abel	[np] - Abel [np]
Abellán	[np] - Abellán [np]
Abelló	[np] - Abelló [np]
Abenza	[np] - Abenza [np]
Abera	[np] - Abera [np]
Aberasturi	[np] - Aberasturi [np]
aberrant	[adj.f] - aberrante [adj.mf]
aberrant	[adj.GD] - aberrante [adj.mf]
aberrant	[adj.m] - aberrante [adj.mf]
aberration	[n] - aberración [n]
Aberri Eguna	[np] - Aberri Eguna [np]
abertzale	[adj] - abertzale [adj]
Abetone	[np] - Abetone [np]
Abetxuko	[np] - Abetxuko [np]
ABF	[n] - ABF [n]
Abia	[np] - Abia [np]
Abiada	[np] - Abiada [np]
Abiba Diskojaia	[np] - Abiba Diskojaia [np]
Abidal	[np] - Abidal [np]
Abidjan	[np] - Abiyán [np]
Abiera	[np] - Abiera [np]
Abkhazie	[np] - Abjasia [np]
ablation	[n] - ablación [n]
ABN	[n] - ABN [n]
ABN Amro	[np] - ABN Amro [np]
abnégation	[n] - abnegación [n]
abolition	[n] - abolición [n]
abominable	[adj] - abominable [adj]
abondamment	[adv] - abundantemente [adv]
abondamment	[adv] - largo y tendido [adv]
abondance	[n] - abundancia [n]
abondant	[adj.f] - abundante [adj.mf]
abondant	[adj.GD] - abundante [adj.mf]
abondant	[adj.m] - abundante [adj.mf]
abonder	[vblex] - abundar [vblex]
abonnement	[n.m] - suscripción [n.f]
abonner	[vblex] - abonar [vblex]
aboné	[n] - suscriptor [n]
abordable	[adj] - abordable [adj]
abordable	[adj] - asequible [adj]
abordage	[n] - abordaje [n]
aborder	[vblex] - abordar [vblex]
abords	[n.m] - inmediaciones [n.f]
aborigène	[n] - aborigen [n]
Abornikano	[np] - Abornikano [np]
Abou	[np] - Abou [np]
Abou Dabi	[np] - Abu Dhabi [np]
Abou Dahdah	[np] - Abu Dahdah [np]
Abou Ghraib	[np] - Abu Ghraib [np]
aboutir	[vblex] - desembocar [vblex]
ABP	[n] - ABP [n]
Abraham	[np] - Abraham [np]
Abrakam	[np] - Abrakam [np]
Abramovich	[np] - Abramovich [np]
Abrams	[np] - Abrams [np]
abrasif	[adj] - abrasivo [adj]
Abreu	[np] - Abreu [np]
abreuvoir	[n] - abrevadero [n]
abri	[n] - abrigo [n]
Abrisketa	[np] - Abrisketa [np]
abriter	[vblex] - resguardar [vblex]
abrogation	[n] - abrogación [n]
abrupt	[adj] - abrupto [adj]
